Issuer name,Issuer LEI code,Latest position date,Sum short %
Cortus Energy AB,549300VX4JS45IIBBN05,2024-06-04,0.1
Irisity AB (publ),529900JYCV3JMCOGGU35,2024-07-03,0.45
Eevia Health,743700NO7D0UA8J1MQ31,2023-08-23,0.32
Xintela AB,549300SMDH1EOLCBQU68,2021-04-09,0.19
Dug Foodtech AB (publ),549300QAYR6579JL5X46,2021-10-13,0.19
Fluicell AB,549300R9LVFVFDTW5Y96,2024-03-01,0.21
DistIT AB,213800CGP4AKXSLWWS08,2023-05-04,0.12
Azelio AB,549300SJ2OCBQN1HH364,2023-06-29,1.21
Nelly Group AB (publ),549300TY1ZF7FQEF0552,2021-04-26,0.19
ISR Immune System Regulation Holding AB (publ),5493007QQ16K1NL2PW55,2022-08-29,0.43
Bonava AB (publ),213800SLYJ6HYXWP8L95,2024-04-02,0.3
Lime Technologies AB (publ),5493008UUFYDF3ZTHC65,2024-06-05,0.1
Re:NewCell AB,549300ODX3D04SRRH667,2024-02-13,3.85
ENQUEST PLC,2138008LJU6WFQWOXJ73,2024-05-07,1.08
Annehem Fastigheter AB,5493001IZXU12M8NYV95,2021-03-12,0.1
Norion Bank AB,529900AGWAKUTYNETM62,2024-05-20,0.43
Enea Aktiebolag,549300UNMLWLG6B2R803,2021-09-01,0.17
Medicover AB,5493000E9BUOYMOW2K53,2023-03-16,0.11
Fagerhult Group AB,549300G9NPD8LSJLMP91,2020-06-18,0.1
Catella AB,213800WNI4X4LCFHV831,2024-03-12,0.1
Scandi Standard AB (publ),5493006VHH78UQJVF844,2021-12-16,0.37
Investor Aktiebolag,549300VEBQPHRZBKUX38,2022-12-14,0.1
PolyPlank Aktiebolag (publ),54930074JF89HQZ5DW64,2024-03-18,0.2
Coala-Life Group AB (publ),549300MAN4M3OKQPID57,2024-03-15,0.75
Aktiebolaget Fastator (publ),549300MI7ETWW4TQD242,2024-03-05,0.2
S2Medical AB (publ),549300K2RWH68WNUI509,2024-02-09,0.11
Realfiction Holding AB,549300AZCIZU2QRKEZ19,2024-01-30,0.39
Arcario AB,549300O9UB56DF0JPH61,2024-01-29,0.31
Vivesto AB,5493003TZPR4B7QO9L49,2024-01-19,0.5
Medivir AB,549300VWDGUX0WMJ1T79,2021-05-31,0.19
MEKO AB,529900R809HC1RFRQA91,2021-11-01,0.49
Karolinska Development AB,54930011ZA52NKO5W681,2021-10-11,0.17
Bactiguard Holding AB,549300PAEBW7IAMOSO21,2022-11-10,0.19
ALELION ENERGY SYSTEMS AB,213800HJQ519AT4VCK42,2023-11-06,0.13
Seafire AB (publ),549300KDKLUNU37BMM70,2023-10-10,0.1
Qliro AB,2138006QFV6OJMYQC847,2021-06-23,0.54
SciBase Holding AB (publ),549300IY6ZWVN0V2P455,2021-06-08,0.17
Acast AB (publ),5493004UROJFQSP6RC85,2021-11-29,0.19
Duni AB,549300MWQEN1427O5L53,2021-03-09,0.2
ALM EQUITY AB,549300FVH6QE042L3J12,2023-05-30,0.83
Sensys Gatso Group AB,5493008GYHJL9PWTC395,2021-03-19,0.23
IMPLANTICA AG,5493007VLX358PSHF006,2023-05-10,0.1
Stora Enso ser. R,7437000ZP669LKUTZ738,2023-04-27,0.1
CDON AB,5493006F7ZGT71653W96,2023-04-25,0.99
Northern CapSek Ventures AB,549300SUB58CZD2F8N84,2021-04-14,0.19
Zordix AB (publ),254900IRBEGO53G9R228,2022-07-01,0.19
Desenio Group AB (publ),64884XU1OA337HY7A137,2022-11-16,0.28
LMK Group AB (publ),529900HKIZBVX08VLG76,2021-12-14,0.14
Papilly AB (publ),549300ABSBGOXEWEVB52,2021-05-14,0.14
Qiiwi Games AB (publ),549300COFKF5IYO65Z50,2022-01-31,0.15
Divio Technologies AB,549300CKKC15TESVL798,2021-04-19,0.17
Offentliga Hus i Norden AB (publ),549300DW54NOXRJXTR48,2021-03-19,0.1
Inzile AB (publ),549300IJN2UMU7OXOC45,2022-01-31,0.14
Gaming Corps AB,5493007I1HS4U2HMQH48,2022-06-02,0.18
2cureX AB,549300SFOL75WIYF2O80,2022-11-15,0.19
OXE Marine AB,549300MM3NFTH3M7CP61,2022-02-25,0.18
Savosolar Oyj,743700J1YZ8IEJAPDL21,2020-12-04,0.18
CombiGene AB,213800CITFPHX4TL8G93,2022-12-01,0.19
ArcAroma AB,5493008BTAMUWWFS1B23,2021-04-30,0.19
Ortivus Aktiebolag,549300AVDV7UC14MTH79,2022-07-08,0.19
Tobii Dynavox AB,5493008X1XZR4R5R0P66,2021-12-13,0.16
Rizzo Group AB,549300QO8NAGX31DFK53,2021-10-08,0.36
Beijer Electronics Group AB,549300HBZGNQOTYZPJ54,2021-06-18,0.19
Rejlers AB (publ),549300K5464VN6QLVB64,2021-03-10,0.1
MOMENT GROUP AB,549300VNTTR22XK8DM54,2021-03-21,0.12
ETRION CORPORATION,549300PLK6HDBY7WQP24,2021-07-26,0.19
SERNEKE Group AB (publ),549300PR6RPXWVYEDE05,2021-10-04,0.29
Björn Borg AB,549300UIPGM58Z67Z634,2021-02-23,0.19
Eniro Group AB,549300DYME127YXNIN46,2021-08-13,0.19
ICA Gruppen Aktiebolag,549300ZEFN8VKPK9I111,2021-11-25,2.7
LeoVegas AB (publ),549300Z1CNOA0L1K8J51,2021-12-13,0.9
Nilörngruppen Aktiebolag,549300XFN5TB930OXX79,2021-03-26,0.19
Swedol AB (publ),549300QTR46SOJY7TE73,2020-03-27,0.19
Adapteo Oyj,549300PDEX0KMLMDNZ32,2020-02-25,0.2
HiQ International AB,549300O6QU5L05C44U49,2020-11-04,0.22
Nobina AB (publ),549300MBXCR8ZQJIFP95,2020-08-12,0.33
NetEnt AB (publ),549300KMAL1H1YLMWP02,2020-06-17,0.76
Lundin Mining Corporation,549300FQDIM6C8HTN269,2020-10-01,0.5
Recipharm AB (publ),549300FHCTIFJOZ9D484,2020-08-07,0.37
Sportamore AB (publ),549300FDPLRPU2MXCJ73,2020-03-04,0.19
Klövern AB,549300D4GJAZR1EMIA07,2021-04-09,0.52
Micro Systemation AB (publ),549300BVH5NT4MN90561,2021-06-08,0.19
