Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
GLG Partners LP,RENEWI PLC,GB00BNR4T868,2.01,2024-05-22
"AQR Capital Management, LLC",RENTOKIL INITIAL PLC,GB00B082RF11,0.51,2024-11-11
WorldQuant LLC,RENTOKIL INITIAL PLC,GB00B082RF11,0.5,2024-10-28
Ennismore Fund Management Limited,RICARDO PLC,GB0007370074,1.89,2024-10-30
"TIG Advisors, LLC",RIGHTMOVE PLC,GB00BGDT3G23,0.51,2024-09-30
Qube Research & Technologies Limited,RS Group Plc,GB0003096442,1.18,2024-10-21
ActusRayPartners Limited,S4 CAPITAL PLC,GB00BFZZM640,0.69,2024-09-10
"Connor, Clark & Lunn Investment Management Ltd",S4 CAPITAL PLC,GB00BFZZM640,0.5,2024-06-04
Qube Research & Technologies Limited,SAFESTORE HOLDINGS PLC,GB00B1N7Z094,0.98,2024-11-01
ActusRayPartners Limited,SAGA PLC,GB00BMX64W89,0.7,2024-01-05
Canada Pension Plan Investment Board,SCHRODERS PLC,GB00BP9LHF23,0.62,2024-07-26
Kintbury Capital LLP,SCHRODERS PLC,GB00BP9LHF23,0.59,2024-11-14
GLG Partners LP,SENIOR PLC,GB0007958233,1.3,2024-11-01
JPMorgan Asset Management (UK) Ltd,SENIOR PLC,GB0007958233,0.79,2024-11-14
WorldQuant LLC,SENIOR PLC,GB0007958233,0.6,2024-11-11
Ennismore Fund Management Limited,SIG PLC,GB0008025412,1.81,2023-10-20
AKO Capital LLP,SMITH & NEPHEW PLC,GB0009223206,1.22,2024-10-15
Marshall Wace LLP,SMITH & NEPHEW PLC,GB0009223206,0.7,2024-11-14
"AQR Capital Management, LLC",SPIRAX GROUP PLC,GB00BWFGQN14,0.5,2024-11-13
GLG Partners LP,SPIRE HEALTHCARE GROUP PLC,GB00BNLPYF73,0.5,2024-10-25
GLG Partners LP,SSP GROUP PLC,GB00BGBN7C04,0.94,2024-09-27
Qube Research & Technologies Limited,SSP GROUP PLC,GB00BGBN7C04,1.48,2024-11-08
"AQR Capital Management, LLC",St. James's Place PLC,GB0007669376,0.59,2024-10-08
"Connor, Clark & Lunn Investment Management Ltd",St. James's Place PLC,GB0007669376,0.59,2024-06-17
Marshall Wace LLP,STANDARD CHARTERED PLC,GB0004082847,0.5,2024-11-12
Marshall Wace LLP,STHREE PLC,GB00B0KM9T71,0.5,2024-10-15
JPMorgan Asset Management (UK) Ltd,SUPERMARKET INCOME REIT PLC,GB00BF345X11,0.8,2024-04-22
Numeric Investors LLC,SUPERMARKET INCOME REIT PLC,GB00BF345X11,0.51,2024-11-08
Point72 Europe (London) LLP,TAYLOR WIMPEY PLC,GB0008782301,0.63,2024-11-14
GLG Partners LP,TELECOM PLUS PLC,GB0008794710,0.72,2023-12-05
Marshall Wace LLP,THG PLC,GB00BMTV7393,0.59,2024-11-14
Qube Research & Technologies Limited,THG PLC,GB00BMTV7393,0.79,2024-11-01
Marshall Wace LLP,THUNGELA RESOURCES LTD,ZAE000296554,1.09,2024-11-14
Qube Research & Technologies Limited,THUNGELA RESOURCES LTD,ZAE000296554,0.68,2024-11-14
Parvus Asset Management Europe Limited,Trainline PLC,GB00BKDTK925,0.8,2024-10-29
Qube Research & Technologies Limited,TRAVIS PERKINS PLC,GB00BK9RKT01,1.31,2024-11-11
Pictet Asset Management Ltd,TULLOW OIL PLC,GB0001500809,1.2,2024-11-14
GLG Partners LP,Vanquis Banking Group Plc,GB00B1Z4ST84,2.88,2024-11-14
Helikon Investments Limited,Victoria PLC,GB00BZC0LC10,1.12,2023-11-13
JPMorgan Asset Management (UK) Ltd,VICTREX PLC,GB0009292243,0.74,2024-11-01
GLG Partners LP,Vistry Group PLC,GB0001859296,1.14,2024-11-13
Kintbury Capital LLP,Vistry Group PLC,GB0001859296,1.06,2024-11-14
Canada Pension Plan Investment Board,Vodafone Group Plc,GB00BH4HKS39,0.5,2024-04-29
Citadel Advisors LLC,Watches of Switzerland Group Ltd.,GB00BJDQQ870,0.58,2024-10-30
Qube Research & Technologies Limited,Watches of Switzerland Group Ltd.,GB00BJDQQ870,1.6,2024-11-08
GLG Partners LP,WHITBREAD PLC,GB00B1KJJ408,0.6,2024-10-30
Marshall Wace LLP,WHITBREAD PLC,GB00B1KJJ408,0.7,2024-11-13
Squarepoint Ops LLC,WHITBREAD PLC,GB00B1KJJ408,0.5,2024-10-21
AHL Partners LLP,Wizz Air Holdings PLC,JE00BN574F90,0.89,2024-11-08
Marshall Wace LLP,Wizz Air Holdings PLC,JE00BN574F90,0.58,2024-11-07
Qube Research & Technologies Limited,Wizz Air Holdings PLC,JE00BN574F90,1.21,2024-10-28
Qube Research & Technologies Limited,WOOD GROUP (JOHN) PLC,GB00B5N0P849,1.63,2024-11-12
Systematica Investments Limited,WOOD GROUP (JOHN) PLC,GB00B5N0P849,1.21,2024-11-12
"AQR Capital Management, LLC",WPP PLC,JE00B8KF9B49,0.8,2024-11-04
Marshall Wace LLP,WPP PLC,JE00B8KF9B49,0.67,2024-11-14
"Arrowstreet Capital, Limited Partnership",YELLOW CAKE PLC,JE00BF50RG45,0.81,2024-10-15
Voleon Capital Management LP,YELLOW CAKE PLC,JE00BF50RG45,0.59,2024-11-05
BlackRock Investment Management (UK) Limited,YouGov,GB00B1VQ6H25,0.91,2024-10-31
Premier Miton Group plc,ZIGUP plc,GB00B41H7391,0.54,2024-10-29
